label,ai_strategy,clean_title,final_headline,Annotator1_result,Annotator1_reason,Annotator2_result,Annotator2_reason,Annotator3_result,Annotator3_reason,yes_count,all_yes,majority_yes
AR,,construction workers found another use for hardhats,"""Construction Workers Discover a New Use for Hardhats""",예,,예,,예,,3,TRUE,TRUE
AR,,my boyfriends house has little blades of grass growing through this wall,"""My boyfriend's house has tiny blades of grass sprouting through the wall.""",예,,예,,예,,3,TRUE,TRUE
AR,,zoom in and see all these crow bois hanging about i need a scarecrow,"""Take a closer look at all these crow bois just hanging around – I could really use a scarecrow!""",아니오,"설명은 허수아비가 없다고 상정하나, 그림에는 허수아비가 존재함",예,,예,,2,FALSE,TRUE
AR,,harlem deli worker charged with murder after fatally stabbing man who tried to attack him behind counter,"""Harlem Deli Worker Faces Murder Charges After Fatally Stabbing Man Who Attacked Him Behind the Counter""",예,,예,,예,,3,TRUE,TRUE
AR,,fps arcade game in thailand uses realistic gun complete with working bolt action to reload,"""Thailand's FPS arcade game features a realistic gun with a functioning bolt action for reloading""",예,,예,,예,,3,TRUE,TRUE
AR,,spotted the planters peanut bus while on a break today,"""Spotted the Planters Peanut bus during my break today!""",예,,예,,예,,3,TRUE,TRUE
AR,,general jackson slaying the many headed monster,"""General Jackson Takes Down the Many-Headed Monster""",예,,예,,예,,3,TRUE,TRUE
AR,,david lettermanss mother dorothy mengering her life story written by her children,"""David Letterman's mother, Dorothy Mengering, has her life story told by her children""",예,,예,,예,,3,TRUE,TRUE
AR,,ive hit my hand against a doorknob and it looks like a nike logo,"""I hit my hand on a doorknob, and now it looks like a Nike logo""",예,,예,,예,,3,TRUE,TRUE
AR,,these straws that you pop the ends off of,"""these straws where you can pop the ends off""",예,,예,,예,,3,TRUE,TRUE
AR,,dozens hit out at punish a muslim day by forming human chain around mosque,"""Dozens protest 'Punish a Muslim Day' by forming a human chain around a mosque""",예,,예,,예,,3,TRUE,TRUE
AR,,san francisco restaurant owner encourages bad yelp reviews,"""Restaurant owner in San Francisco invites negative Yelp reviews""",예,,예,,예,,3,TRUE,TRUE
AR,,this womanrun shoe company is stepping up ethiopias economy,"""This woman-led shoe company is boosting Ethiopia's economy""",예,,예,,예,,3,TRUE,TRUE
AR,,this is pretty incredible how cuba and canada give us lung cancer patient new hope health,"""Cuba and Canada Offer New Hope for Lung Cancer Patients – This is Truly Incredible!""",예,,예,,예,,3,TRUE,TRUE
AR,,strangers send dog photos to help teen smile while undergoing chemo,"""Strangers share dog photos to lift teen's spirits during chemo""",예,,예,,예,,3,TRUE,TRUE
AR,,someone quite distraught over not quite catching a frisbee,"""Person visibly upset after almost catching a frisbee""",예,,모르겠음,ai티가 너무 많이 나서 구름이 너무 사각형임,예,,2,FALSE,TRUE
AR,,fifa financial watchdog member arrested after corruption allegations,"""Member of FIFA's financial watchdog arrested amid corruption allegations""",예,,예,,예,,3,TRUE,TRUE
AR,,dups clarke did not know heterosexuals could contract hiv,"""Dups Clarke Surprised to Learn Heterosexuals Can Contract HIV""",예,,예,,예,,3,TRUE,TRUE
